Elapsed time,Front travel,Rear travel,Front brake,Rear brake,Acc x,Acc y,Acc z
0.233,14.1,26.9,0,0,0.06,0.16,1.11
0.282,16.6,30.4,0,0,0.14,0.28,1.22
0.283,19.0,34.0,0,0,0.22,0.41,1.33
0.283,21.4,37.6,0,0,0.30,0.50,1.39
0.294,24.0,41.7,0,0,0.26,0.59,1.45
0.294,24.0,42.3,0,0,0.14,0.56,1.39
0.295,24.1,43.0,0,0,0.02,0.53,1.34
0.295,24.2,43.6,0,0,-0.09,0.49,1.28
0.296,24.3,44.2,0,0,-0.21,0.49,1.28
0.296,24.3,44.2,0,0,-0.21,0.49,1.28
0.297,24.3,44.2,0,0,-0.21,0.49,1.28
0.297,24.3,44.2,0,0,-0.21,0.49,1.28
0.346,24.4,42.8,0,0,-0.11,0.36,1.20
0.346,24.4,41.5,0,0,-0.01,0.23,1.11
0.347,24.5,40.1,0,0,0.09,0.11,1.03
0.347,24.5,38.8,0,0,0.20,-0.02,0.94
0.348,24.6,37.4,0,0,0.30,-0.15,0.86
0.348,24.6,37.4,0,0,0.30,-0.15,0.86
0.349,24.6,37.4,0,0,0.30,-0.15,0.86
0.349,24.6,37.4,0,0,0.30,-0.11,0.87
0.360,24.4,36.9,0,0,0.32,-0.06,0.88
0.360,24.2,36.5,0,0,0.34,-0.01,0.88
0.361,24.1,36.0,0,0,0.36,0.03,0.89
0.361,23.9,35.6,0,0,0.38,0.08,0.90
0.362,23.7,35.1,0,0,0.40,0.08,0.90
0.362,23.7,35.1,0,0,0.40,0.08,0.90
0.409,23.1,34.0,0,0,0.30,0.02,0.94
0.410,22.4,32.9,0,0,0.20,-0.03,0.98
0.410,21.7,31.8,0,0,0.10,-0.09,1.02
0.411,21.1,30.7,0,0,0.00,-0.15,1.06
0.411,20.4,29.6,0,0,-0.10,-0.20,1.10
0.412,20.4,29.6,0,0,-0.10,-0.20,1.10
0.412,20.4,29.6,0,0,-0.10,-0.20,1.10
0.413,20.4,29.6,0,0,-0.10,-0.20,1.10
0.413,20.4,29.6,0,0,-0.10,-0.20,1.10
0.413,20.4,29.6,0,0,-0.10,-0.20,1.10
0.414,20.4,29.6,0,0,-0.10,-0.20,1.10
0.415,20.4,29.6,0,0,-0.05,-0.20,1.05
0.425,20.1,29.7,0,0,-0.00,-0.21,0.99
0.425,19.8,29.8,0,0,0.03,-0.21,0.92
0.463,18.3,29.4,0,0,0.07,-0.21,0.86
0.464,16.3,28.9,0,0,0.13,-0.22,0.82
0.475,14.4,28.4,0,0,0.14,-0.23,0.83
0.476,12.7,27.8,0,0,0.16,-0.24,0.85
0.476,11.0,27.2,0,0,0.19,-0.25,0.87
0.477,10.6,27.0,0,0,0.21,-0.27,0.89
0.477,10.6,27.0,0,0,0.21,-0.27,0.89
0.478,10.6,27.0,0,0,0.21,-0.27,0.89
0.478,10.6,27.0,0,0,0.21,-0.27,0.89
0.479,10.6,27.0,0,0,0.21,-0.27,0.89
0.479,10.6,27.0,0,0,0.21,-0.27,0.89
0.480,10.6,27.0,0,0,0.21,-0.27,0.89
0.480,10.6,27.0,0,0,0.21,-0.27,0.89
0.481,10.6,26.9,0,0,0.20,-0.25,0.86
0.527,10.0,27.2,0,0,0.19,-0.24,0.84
0.528,9.4,27.5,0,0,0.18,-0.23,0.82
0.528,8.9,27.7,0,0,0.17,-0.22,0.79
0.529,8.2,28.5,0,0,0.17,-0.15,0.78
0.540,7.5,29.3,0,0,0.17,-0.10,0.80
0.541,7.4,29.7,0,0,0.18,-0.05,0.81
0.541,7.3,30.2,0,0,0.18,-0.00,0.82
0.542,7.2,30.6,0,0,0.18,0.05,0.84
0.542,7.2,30.6,0,0,0.18,0.05,0.84
